plant_id_eia,boiler_id,prime_mover_code
61364,23523,
60903,0002,
60903,0001,
60786,HRSG1,
60768,CTG4,CT
60768,CTG3,CT
60768,2 B,CA
60768,2 A,CA
60693,006,
60693,005,
60693,004,
60693,003,
60693,002,
60693,001,
60550,B001,
60376,HRSG2,
60376,HRSG1,
60368,HRSG3,
60368,HRSG2,
60368,HRSG1,
60340,1,ST
60206,RR,
60205,TCHRSG,
60202,HRSG1,
60122,STG9,CA
60122,HRSG8,
60122,HRSG7,
60122,CT8,CT
60122,CT7,CT
60100,B-1,ST
60084,7040,ST
60084,7020A,ST
60084,1006,ST
60084,1005,ST
59925,HRSG1,
59812,HRSG5,CA
59812,HRSG4,CA
59812,CGT5,CT
59812,CGT4,CT
59784,CTG6,CT
59784,CTG5,CT
59784,3 B,CA
59784,3 A,CA
59773,HRSG-2,CA
59773,HRSG-1,CA
59773,CGT2,CT
59773,CGT1,CT
59764,HRSG12,CA
59764,HRSG11,CA
59764,CTG12,CT
59764,CTG11,CT
59658,BLR1,ST
59338,CTG2,CT
59338,CTG1,CT
59338,1 B,CA
59338,1 A,CA
59326,HRSG,
59325,HRSG,
59254,HRSG1,CA
59254,GENT4,CT
59254,GENT3,CT
59254,GENT2,CT
59254,GENT1,CT
59233,CT2,CS
59220,HRSG2,CA
59220,HRSG1,CA
59220,CT2,CT
59220,CT1,CT
59093,11,CT
59093,10,CT
59073,5L501B,
59073,5L501A,
59073,5B921B,
59073,5B921A,
59035,MKA1,ST
59012,HRSG,
59004,HRSG12,CA
59004,HRSG11,CA
59004,GEN2,CT
59004,GEN1,CT
58944,2771,ST
58707,B001,ST
58706,B001,ST
58697,CT2,CT
58697,CT1,CT
58697,01B,CA
58697,01A,CA
58613,2000,ST
58595,B1,ST
58574,01,ST
58560,BLR1,ST
58557,GT2,CT
58557,GT1,CT
58557,2,CA
58557,1,CA
58503,HRSG01,CA
58503,GEN1,CT
58478,CT,CT
58472,1,ST
58427,HRSG2,CA
58427,HRSG1,CA
58427,CTG2,CT
58427,CTG1,CT
58426,HRSG2,CS
58426,HRSG1,CS
58420,HRSG2,CS
58420,HRSG1,CS
58409,HRSG,
58352,B-11,ST
58310,B-1,
58260,HRSG1C,CA
58260,HRSG1B,CA
58260,HRSG1A,CA
58260,CT03,CT
58260,CT02,CT
58260,CT01,CT
58236,HRSG2,CA
58236,HRSG1,CA
58236,CTG2,CT
58236,CTG1,CT
58215,ST1,CA
58215,1C,CT
58215,1B,CT
58215,1A,CT
58207,HRSG8,CA
58207,HRSG7,CA
58207,G8,CT
58207,G7,CT
58205,1,ST
58200,BLR4,ST
58200,BLR3,ST
58200,BLR2,ST
58199,G1,CS
58198,HRSG1,CA
58198,GTG2,CT
58198,GTG1,CT
58194,WC8,ST
58194,WC6,ST
58194,WC2,ST
58194,WC1,ST
58161,GTG-8,CT
58161,GTG-7,CT
58159,HRSG3,CA
58159,HRSG2,CA
58159,HRSG1,CA
58159,CGT3,CT
58159,CGT2,CT
58159,CGT1,CT
58157,9,ST
58157,7,ST
58157,6,ST
58157,5,ST
58157,10,ST
58151,GTG01,CT
58151,B012,CA
58151,B001,CA
58124,1,ST
58109,REC2,ST
58109,REC1,ST
58109,PB5,ST
58109,PB3,ST
58108,3 RB,ST
58108,2 HFB,ST
58084,HRSG1,CA
58084,GT100,CT
58083,HRSG,CA
58083,GTG1,CT
58079,HRSG-2,CA
58079,HRSG-1,CA
58079,GT-2,CT
58079,GT-1,CT
58066,B4,ST
58066,B2,ST
58066,B1,ST
58054,ST01,ST
58023,1,ST
58007,HRSG4,CA
58007,HRSG3,CA
58007,HRSG2,CA
58007,HRSG1,CA
58007,G4,CT
58007,G3,CT
58007,G2,CT
58007,G1,CT
58005,HRSG2,CA
58005,HRSG1,CA
58005,CTG-2,CT
58005,CTG-1,CT
58001,HRSG4,CA
58001,HRSG3,CA
58001,HRSG2,CA
58001,HRSG1,CA
58001,CTG-4,CT
58001,CTG-3,CT
58001,CTG-2,CT
58001,CTG-1,CT
57978,ST1HRG,CA
57978,CT1,CT
57966,SG-203,ST
57966,SG-201,ST
57953,HRSG,CA
57953,GT,CT
57953,COGEN,ST
57919,9,ST
57919,6,
57919,4,
57919,3,
57919,2,
57919,11,ST
57919,10,ST
57915,8BLR,ST
57915,7BLR,ST
57915,6BLR,ST
57915,4BLR,ST
57915,3BLR,ST
57915,2BLR,ST
57915,1BLR,ST
57914,UI4,ST
57914,UI3,ST
57914,CE2,ST
57914,CE1,ST
57909,BLR1,ST
57908,HRSG2,CA
57908,HRSG1,CA
57908,CTG2,CT
57908,CTG1,CT
57901,7,CT
57901,5,CT
57901,20,CA
57901,10,CA
57898,BLR5,ST
57898,BLR4,ST
57898,BLR3,ST
57894,2,
57894,1,
57842,1HRSG,CA
57842,1,
57839,HRSG1B,CA
57839,HRSG1A,CA
57839,CT002,CT
57839,CT001,CT
57822,HRSG5,ST
57822,HRSG4,ST
57822,HRSG3,ST
57822,HRSG2,ST
57822,HRSG1,ST
57794,HRSG4,CA
57794,HRSG3,CA
57794,HRSG2,
57794,HRSG1,
57794,CT2,CT
57794,CT1,CT
57759,5PB,ST
57759,4RF,ST
57759,3PB,ST
57703,HRSG,CA
57703,01B,CT
57703,01A,CT
57684,1,ST
57666,CT2,CT
57666,CT1,CT
57664,HRSG4,CA
57664,HRSG3,CA
57664,CT4,CT
57664,CT3,CT
57653,CTG,CT
57584,ST1,CT
57584,SHRSG,CA
57584,NT2,CT
57584,NHRSG,CA
57564,HRSG1,CA
57564,EIHRSG,
57564,CTG,CT
57552,HRSG2,
57552,HRSG1,
