abbr,source
ANT,Anthracite Coal
BFG,Blast Furnace Gas
BM,Biomass
BIT,Bituminous Coal
DFO,"Distillate Fuel Oil. Including diesel, No. 1, No. 2, and No. 4 fuel oils."
JF,Jet Fuel
KER,Kerosene
LIG,Lignite Coal
NG,Natural Gas
PC,Petroleum Coke
PG,Gaseous Propone
OG,Other Gas
RC,Refined Coal
RFO,Residual Fuel Oil. Including No. 5 & 6 fuel oils and bunker C fuel oil.
SG,Synhtesis Gas from Petroleum Coke
SGP,Petroleum Coke Derived Synthesis Gas
SC,"Coal-based Synfuel. Including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials."
SUB,Subbituminous Coal
WC,"Waste/Other Coal. Including anthracite culm, bituminous gob, fine coal, lignite waste, waste coal."
WO,"Waste/Other Oil. Including crude oil, liquid butane, liquid propane, naphtha, oil waste, re-refined moto oil, sludge oil, tar oil, or other petroleum-based liquid wastes."
